date	average	threshold
20161030	0.08	0.5
20161031	0.16	0.5
20161101	0.19	0.5
20161102	0.08	0.5
20161103	0.09	0.5
20161104	0.1	0.5
20161105	0.1	0.5
20161106	0.12	0.5
20161107	0.14	0.5
20161108	0.14	0.5
20161109	0.14	0.5
20161110	0.02	0.5
20161111	0.09	0.5
20161112	0.1	0.5
20161113	0.1	0.5
20161114	0.12	0.5
20161115	0.14	0.5
20161116	0.14	0.5
20161117	0.14	0.5
20161118	0.14	0.5
20161119	0.16	0.5
20161120	0.19	0.5
20161121	0.08	0.5
20161122	0.09	0.5
20161123	0.1	0.5
20161124	0.09	0.5
20161125	0.1	0.5
20161126	0.1	0.5
20161127	0.12	0.5
20161128	0.14	0.5
20161129	0.14	0.5
20161130	0.14	0.5
20161201	0.14	0.5
20161202	0.16	0.5
20161203	0.19	0.5
20161204	0.32	0.5
20161205	0.33	0.5
20161206	0.33	0.5
20161207	0.34	0.5
20161208	0.36	0.5
20161209	0.38	0.5
20161210	0.38	0.5
20161211	0.44	0.5
20161212	0.47	0.5
20161213	0.47	0.5
20161214	0.47	0.5
20161215	0.49	0.5
20161216	0.49	0.5
20161217	0.49	0.5
20161218	0.51	0.5
20161219	0.52	0.5
20161220	0.53	0.5
20161221	0.53	0.5
20161222	0.54	0.5
20161223	0.55	0.5
20161224	0.59	0.5
20161225	0.61	0.5
20161226	0.62	0.5
20161227	0.62	0.5
20161228	0.63	0.5
20161229	0.64	0.5
20161230	0.64	0.5
20161231	0.64	0.5
20170101	0.65	0.5
20170102	0.65	0.5
20170103	0.65	0.5
20170104	0.67	0.5
20170105	0.6	0.5
20170106	0.53	0.5
20170107	0.54	0.5
20170108	0.55	0.5
20170109	0.59	0.5
20170110	0.61	0.5
20170111	0.62	0.5
20170112	0.62	0.5
20170113	0.63	0.5
20170114	0.64	0.5
20170115	0.64	0.5
20170116	0.64	0.5
20170117	0.64	0.5
20170118	0.83	0.5
20170119	0.64	0.5
20170120	0.65	0.5
20170121	0.65	0.5
20170122	0.65	0.5
20170123	0.88	0.5
20170124	0.91	0.5
20170125	0.91	0.5
20170126	0.96	0.5
20170127	0.97	0.5
20170128	0.91	0.5
20170129	0.91	0.5
20170130	0.96	0.5
20170131	0.97	0.5
20170201	0.97	0.5
20170201	0.96	0.5
20170201	0.97	0.5
20170201	0.97	0.5
20170201	0.96	0.5
20170201	0.96	0.5
